order_id,order_delta_hour_t-1,order_delta_hour_t-2,order_delta_hour_t-3
1374495,,,
444309,5.0,,
3002854,-3.0,2.0,
2037211,2.0,-1.0,4.0
2710558,-1.0,1.0,-2.0
1972919,-1.0,-2.0,0.0
1839752,-1.0,-2.0,-3.0
3225766,2.0,1.0,0.0
3160850,-1.0,1.0,0.0
676467,0.0,-1.0,1.0
521107,2.0,2.0,1.0
1402502,-3.0,-1.0,-1.0
2774568,0.0,-3.0,-1.0
2514324,,,
3135826,-1.0,,
2564002,0.0,-1.0,
714991,-1.0,-1.0,-2.0
3317979,4.0,3.0,3.0
876095,-4.0,0.0,-1.0
2685110,0.0,-4.0,0.0
3119091,6.0,6.0,2.0
887727,-4.0,2.0,2.0
2570697,-3.0,-7.0,-1.0
2600170,-1.0,-4.0,-8.0
2883598,-1.0,-2.0,-5.0
2332087,2.0,1.0,0.0
113728,0.0,2.0,1.0
2968173,-1.0,-1.0,1.0
3097485,0.0,-1.0,-1.0
1870022,7.0,7.0,6.0
1911383,-5.0,2.0,2.0
2345592,0.0,-5.0,2.0
2994589,2.0,2.0,-3.0
2715276,-4.0,-2.0,-2.0
487368,1.0,-3.0,-1.0
2161313,-1.0,0.0,-4.0
913794,,,
692224,-4.0,,
714002,5.0,1.0,
1578027,2.0,7.0,3.0
164627,-10.0,-8.0,-3.0
3097573,11.0,1.0,3.0
1089058,-9.0,2.0,-8.0
326173,1.0,-8.0,3.0
1867561,0.0,1.0,-8.0
2143792,1.0,1.0,2.0
139882,-2.0,-1.0,-1.0
2830335,4.0,2.0,3.0
2023100,-1.0,3.0,1.0
2144995,0.0,-1.0,3.0
1976929,9.0,9.0,8.0
2128599,-9.0,0.0,0.0
817409,,,
1839867,-1.0,,
3160844,5.0,4.0,
1713067,-6.0,-1.0,-2.0
144494,1.0,-5.0,0.0
1583644,,,
3253911,0.0,,
1422896,1.0,1.0,
3003586,3.0,4.0,4.0
1625976,1.0,4.0,5.0
2133732,1.0,2.0,5.0
1999119,0.0,1.0,2.0
225812,-3.0,-3.0,-2.0
2843095,-2.0,-5.0,-5.0
3029625,-2.0,-4.0,-7.0
692225,1.0,-1.0,-3.0
2630919,-1.0,0.0,-2.0
2028484,7.0,6.0,7.0
864720,-6.0,1.0,0.0
1072954,8.0,2.0,9.0
3205960,,,
970922,4.0,,
596585,-2.0,2.0,
2037087,-4.0,-6.0,-2.0
2474111,5.0,1.0,-1.0
1568481,-2.0,3.0,-1.0
1723781,1.0,-1.0,4.0
2048527,-2.0,-1.0,-3.0
2389031,3.0,1.0,2.0
2378562,-4.0,-1.0,-3.0
1515698,1.0,-3.0,0.0
1928050,1.0,2.0,-2.0
1949274,-2.0,-1.0,0.0
